Question,A,B,C,D,CorrectAnswer,Explanation,Type,Tolerance,Unit,Accept,MRQ_AON,Pairs,Items,Difficulty,Tags,Section
Find the limit: lim(x→2) (x² - 4)/(x - 2),Undefined,4,2,0,B,Factor the numerator: x²−4 = (x−2)(x+2). Cancel (x−2) to get (x+2). At x=2 this gives 2+2 = 4.,mcq,,,,,,,Medium,Calculus|Limits,Limits
Evaluate: lim(x→0) (sin x)/x,Undefined,1,0,∞,B,This is a standard result proved by the squeeze theorem: lim(x→0) sinx/x = 1. It is the foundation of all trigonometric derivatives.,mcq,,,,,,,Medium,Calculus|Differentiation,Differentiation
"Using the product rule, differentiate y = x² sin x",2x sin x + x² cos x,2x sin x − x² cos x,2 sin x + x cos x,x² sin x + 2x cos x,A,Product rule: (uv)' = u'v + uv'. With u=x² and v=sinx: u'=2x and v'=cosx. Result: 2x·sinx + x²·cosx.,mcq,,,,,,,Medium,Calculus|Differentiation,Differentiation
Find dy/dx if y = ln(x² + 1),2/(x² + 1),2x/(x² + 1),1/(x² + 1),x/(x² + 1),B,Chain rule: d/dx[ln(u)] = u'/u. With u = x²+1 and u' = 2x the answer is 2x/(x²+1).,mcq,,,,,,,Medium,Calculus|Differentiation,Differentiation
Find the gradient of y = x³ − 3x + 2 at x = 1,6,3,−3,0,D,dy/dx = 3x²−3. At x=1: 3(1)−3 = 0. A gradient of zero means x=1 is a stationary (turning) point.,mcq,,,,,,,Medium,Calculus|Differentiation,Differentiation
"The equation of a circle with centre (0,0) and radius 5 is",x² + y² = 5,x² + y² = 25,(x+5)² + y² = 0,x² − y² = 25,B,Standard circle equation: x² + y² = r². With r=5 then r²=25 giving x² + y² = 25.,mcq,,,,,,,Medium,Further Mathematics,Mixed Practice
Evaluate ∫(2x + 3) dx,x² + 3x + C,2x² + 3x + C,x² + C,2x + C,A,Integrate term by term: ∫2x dx = x² and ∫3 dx = 3x. Adding the constant of integration gives x² + 3x + C.,mcq,,,,,,,Medium,Calculus|Integration,Integration
Find the area under y = x² between x = 0 and x = 3,3,9,27,81,B,∫₀³ x² dx = [x³/3]₀³ = 27/3 − 0 = 9 square units.,mcq,,,,,,,Medium,Further Mathematics,Mixed Practice
The roots of 2x² − 5x + 3 = 0 are,x=1 and x=3,x=1 and x=1.5,x=−1 and x=−1.5,x=2 and x=0.5,B,Factorising: (2x−3)(x−1) = 0 gives x = 3/2 = 1.5 and x = 1.,mcq,,,,,,,Medium,Further Mathematics,Mixed Practice
"Find the sum of the first 10 terms of the AP: 3, 7, 11, …",210,183,215,190,A,"First term a=3, common difference d=4. Sₙ = n/2[2a+(n−1)d]. S₁₀ = 10/2[6+36] = 5×42 = 210. Wait — recheck: 5×42=210. So the answer is A.",mcq,,,,,,,Medium,Further Mathematics,Mixed Practice
The number of ways of arranging 5 different books on a shelf is,25,120,60,720,B,This is a permutation of 5 objects: 5! = 5×4×3×2×1 = 120.,mcq,,,,,,,Medium,Statistics|Probability,Probability
Differentiate y = x³ eˣ using the product rule,3x²eˣ + x³eˣ,3x²eˣ,3x²eˣ − x³eˣ,x³eˣ,A,Product rule: u=x³ u'=3x² and v=eˣ v'=eˣ. Result: (x³)'eˣ + x³(eˣ)' = 3x²eˣ + x³eˣ.,mcq,,,,,,,Medium,Calculus|Differentiation,Differentiation
The general term of a GP with first term 2 and common ratio 3 is,2·3ⁿ,2·3ⁿ⁻¹,3·2ⁿ,6ⁿ,B,General term of a GP: Tₙ = arⁿ⁻¹. With a=2 and r=3: Tₙ = 2·3ⁿ⁻¹.,mcq,,,,,,,Medium,Further Mathematics,Mixed Practice
Find dy/dx by implicit differentiation if x² + y² = 25,−x/y,−y/x,x/y,y/x,A,Differentiate both sides: 2x + 2y(dy/dx) = 0. Solve for dy/dx = −x/y.,mcq,,,,,,,Medium,Calculus|Differentiation,Differentiation
"If f(x) = x³ − 6x² + 9x + 1, find the x-values of the turning points",x=1 and x=3,x=2 and x=4,x=0 and x=6,x=−1 and x=3,A,f'(x) = 3x²−12x+9 = 3(x²−4x+3) = 3(x−1)(x−3). Setting f'(x)=0 gives x=1 and x=3.,mcq,,,,,,,Medium,Further Mathematics,Mixed Practice
Evaluate ∫₀^(π/2) cos x dx,0,1,2,π/2,B,∫₀^(π/2) cos x dx = [sin x]₀^(π/2) = sin(π/2) − sin(0) = 1 − 0 = 1.,mcq,,,,,,,Medium,Further Mathematics,Mixed Practice
"The matrix [[2,1],[3,4]] has determinant",8,5,11,10,B,Det = (2×4) − (1×3) = 8 − 3 = 5.,mcq,,,,,,,Hard,Algebra|Matrices,Matrices
Resolve (3x+1)/((x+1)(x−1)) into partial fractions,2/(x+1) + 1/(x−1),1/(x+1) + 2/(x−1),3/(x+1) − 2/(x−1),2/(x−1) − 1/(x+1),B,Let (3x+1)/((x+1)(x−1)) = A/(x+1) + B/(x−1). At x=1: 4=2B → B=2. At x=−1: −2=−2A → A=1. Result: 1/(x+1) + 2/(x−1).,mcq,,,,,,,Medium,Further Mathematics,Mixed Practice
The modulus of the complex number 3 + 4i is,3,4,5,7,C,Modulus = √(3²+4²) = √(9+16) = √25 = 5.,mcq,,,,,,,Medium,Further Mathematics,Mixed Practice
"Find the equation of the tangent to y = x² at (2, 4)",y = 2x − 4,y = 4x + 4,y = x + 4,y = 4x − 4,D,dy/dx = 2x. At x=2 the gradient is 4. Using y−y₁=m(x−x₁): y−4=4(x−2) → y=4x−4.,mcq,,,,,,,Medium,Calculus|Differentiation,Differentiation
The derivative of a constant function is always zero.,True,False,,,A,The derivative measures rate of change. A constant never changes so its rate of change — and therefore its derivative — is always zero.,tf,,,,,,,Medium,Calculus|Differentiation,Differentiation
∫eˣ dx = eˣ + C.,True,False,,,A,The exponential function eˣ is its own derivative and its own antiderivative. So ∫eˣ dx = eˣ + C.,tf,,,,,,,Medium,Calculus|Differentiation,Differentiation
The sum of an infinite GP converges only when the common ratio r satisfies |r| < 1.,True,False,,,A,For an infinite GP S∞ = a/(1−r). This formula is only valid when |r| < 1. If |r| ≥ 1 the series diverges.,tf,,,,,,,Medium,Further Mathematics,Mixed Practice
A matrix with a zero determinant is called a singular matrix and has no inverse.,True,False,,,A,A zero determinant means the matrix is singular. The inverse is computed as adj(A)/det(A) — division by zero is undefined so no inverse exists.,tf,,,,,,,Hard,Algebra|Matrices,Matrices
The product rule states that d/dx[f(x)·g(x)] = f'(x)·g'(x).,True,False,,,B,This is a common misconception. The correct product rule is d/dx[f·g] = f'g + fg'. Simply multiplying the derivatives gives the wrong answer.,tf,,,,,,,Medium,Calculus|Differentiation,Differentiation
Integration is the reverse process of differentiation.,True,False,,,A,By the Fundamental Theorem of Calculus integration and differentiation are inverse operations. Integrating a derivative returns the original function (plus a constant).,tf,,,,,,,Medium,Calculus|Differentiation,Differentiation
The complex conjugate of (2 + 3i) is (2 − 3i).,True,False,,,A,The complex conjugate of a+bi is a−bi. Changing only the sign of the imaginary part gives 2−3i.,tf,,,,,,,Medium,Further Mathematics,Mixed Practice
"For a quadratic ax² + bx + c = 0, if the discriminant b²−4ac > 0, the roots are complex.",True,False,,,B,If the discriminant > 0 the roots are REAL and distinct. Complex roots occur only when the discriminant is negative (< 0).,tf,,,,,,,Medium,Further Mathematics,Mixed Practice
Which of the following are properties of a geometric progression (GP)?,Each term is found by adding a fixed value to the previous term,The ratio between consecutive terms is constant,The sum formula for n terms uses both a and r,The sequence can be infinite and still converge,"A,B,C,D",In a GP the ratio r between consecutive terms is constant (not a fixed addition — that is an AP). The sum uses a (first term) and r. An infinite GP converges when |r|<1. Option A describes an AP not a GP — it is the distractor.,mrq,,,,false,,,Medium,Further Mathematics,Mixed Practice
Which of the following are valid differentiation rules?,d/dx[uv] = u'v + uv' (Product Rule),d/dx[u/v] = (u'v − uv')/v² (Quotient Rule),d/dx[f(g(x))] = f'(g(x))·g'(x) (Chain Rule),d/dx[u + v] = u'·v' (incorrect sum rule),"A,B,C",Options A (product rule) B (quotient rule) and C (chain rule) are all correct differentiation rules. Option D is false — the correct rule is d/dx[u+v] = u' + v' not u'·v'.,mrq,,,,false,,,Medium,Calculus|Differentiation,Differentiation
Which of the following correctly describe stationary points of a curve?,They occur where dy/dx = 0,"They can be maximum, minimum, or point of inflection",They always occur in pairs on a cubic curve,The second derivative test helps classify them,"A,B,D","Stationary points require dy/dx = 0 (A). They can be max, min, or inflection (B). The second derivative confirms their nature (D). Cubic curves do not always have stationary points in pairs — (C) is false.",mrq,,,,false,,,Medium,Calculus|Differentiation,Differentiation
Which of the following are true about the number i = √(−1)?,i² = −1,i³ = −i,i⁴ = 1,i is a real number,"A,B,C",By definition i²=−1 (A). i³=i²·i=−1·i=−i (B). i⁴=(i²)²=(−1)²=1 (C). Option D is false — i is an imaginary not a real number.,mrq,,,,false,,,Medium,Further Mathematics,Mixed Practice
Which of the following conditions guarantee that a series is convergent?,The terms approach zero as n→∞,It is a geometric series with |r| < 1,It is an arithmetic series with any common difference,The series passes the ratio test,"A,B,D",Option A is necessary (but not sufficient) for convergence. B (GP with |r|<1) always converges. D (ratio test) is a valid convergence test. C is false — all arithmetic series with d≠0 diverge.,mrq,,,,false,,,Medium,Further Mathematics,Mixed Practice
Which of the following are properties of matrix multiplication?,It is associative: A(BC) = (AB)C,It is commutative: AB = BA for all matrices,The identity matrix I satisfies AI = IA = A,Distributive law holds: A(B+C) = AB + AC,"A,C,D",Matrix multiplication is associative (A) and distributive (D) and the identity matrix satisfies AI=IA=A (C). It is NOT commutative in general — AB≠BA (B is false).,mrq,,,,false,,,Hard,Algebra|Matrices,Matrices
Which of the following are methods for solving a system of linear equations?,Gaussian elimination,Cramer's Rule using determinants,Integration by parts,Matrix inversion method,"A,B,D","Gaussian elimination (A), Cramer's Rule (B), and the matrix inversion method (D) are all standard techniques for solving linear systems. Integration by parts (C) is a calculus technique unrelated to solving equations.",mrq,,,,false,,,Medium,Calculus|Integration,Integration
Which of the following are true about the definite integral ∫ₐᵇ f(x) dx?,It represents the signed area between f(x) and the x-axis,Its value depends on the limits a and b,It equals F(b) − F(a) where F is any antiderivative of f,It always gives a positive result,"A,B,C",The definite integral is the signed area (A) — it can be negative if f(x) is below the x-axis. Its value depends on the limits (B). By the Fundamental Theorem it equals F(b)−F(a) (C). It does not always give a positive result — (D) is false.,mrq,,,,false,,,Medium,Calculus|Limits,Limits
The process of finding the antiderivative of a function is called ___.,,,,,Integration,"Integration (also called antidifferentiation) is the reverse process of differentiation. It is used to find areas, volumes, and accumulated quantities.",short,,,,integration|antidifferentiation|antiderivative,,,Medium,Calculus|Differentiation,Differentiation
In a geometric progression the constant multiplier between consecutive terms is called the ___.,,,,,common ratio,"The common ratio r is the fixed value by which each term is multiplied to obtain the next. For example in 2, 6, 18, 54 the common ratio is 3.",short,,,,common ratio|ratio|r,,,Medium,Further Mathematics,Mixed Practice
The imaginary unit i is defined as the square root of ___.,,,,,-1,By definition i = √(−1) which means i² = −1. This definition extends the real number system to the complex numbers.,short,,,,−1|-1|negative one|negative 1,,,Medium,Further Mathematics,Mixed Practice
The set of all complex numbers has the form a + bi where a is the ___ part and b is the ___ part.,,,,,real,In the complex number a+bi: a is the real part and b is the imaginary part. Both a and b are real numbers.,short,,,,real|real part,,,Medium,Further Mathematics,Mixed Practice
A turning point where the curve changes from concave up to concave down (or vice versa) without being a maximum or minimum is called a point of ___.,,,,,inflection,A point of inflection is where the second derivative changes sign (d²y/dx² = 0 and changes sign). The curve changes its concavity at this point.,short,,,,inflection|inflexion|point of inflection|point of inflexion,,,Medium,Calculus|Differentiation,Differentiation
The formula for the sum of the first n terms of an arithmetic progression is Sₙ = ___.,,,,,n/2(2a+(n−1)d),Sₙ = n/2[2a+(n−1)d] where a is the first term d is the common difference and n is the number of terms. Alternatively Sₙ = n/2(a+l) where l is the last term.,short,,,,n/2(2a+(n-1)d)|n/2[2a+(n-1)d]|n(2a+(n-1)d)/2,,,Medium,Further Mathematics,Mixed Practice
The reciprocal of a 2×2 matrix A is called its ___.,,,,,inverse,The inverse of matrix A is written A⁻¹ and satisfies AA⁻¹ = A⁻¹A = I. It exists only when det(A) ≠ 0.,short,,,,inverse|matrix inverse|A inverse,,,Hard,Algebra|Matrices,Matrices
The horizontal line y = L is called a horizontal ___ of the curve y = f(x) if lim(x→∞) f(x) = L.,,,,,asymptote,A horizontal asymptote is the value the function approaches as x tends to infinity. It describes the long-run behaviour of the curve.,short,,,,asymptote|horizontal asymptote,,,Medium,Further Mathematics,Mixed Practice
How many different arrangements are possible with the letters of the word FURTHER (assuming all letters are distinct)?,,,,,5040,FURTHER has 7 letters all treated as distinct (ignore repeats for this question). The number of arrangements = 7! = 5040.,numeric,0,arrangements,,,,,Medium,Further Mathematics,Mixed Practice
Find the value of the definite integral: ∫₀¹ x² dx. Give your answer correct to 3 decimal places.,,,,,0.333,∫₀¹ x² dx = [x³/3]₀¹ = 1/3 ≈ 0.333.,numeric,0.001,,,,,,Medium,Calculus|Integration,Integration
A geometric progression has first term 4 and common ratio 0.5. Find the sum to infinity.,,,,,8,S∞ = a/(1−r) = 4/(1−0.5) = 4/0.5 = 8. Converges because |r| = 0.5 < 1.,numeric,0,,,,,,Medium,Further Mathematics,Mixed Practice
"Find the determinant of the matrix [[3,2],[1,4]].",,,,,10,Det = (3×4) − (2×1) = 12 − 2 = 10.,numeric,0,,,,,,Hard,Algebra|Matrices,Matrices
The complex number z = 5 + 12i has modulus equal to ___.,,,,,13,Modulus = √(5² + 12²) = √(25+144) = √169 = 13.,numeric,0,,,,,,Medium,Further Mathematics,Mixed Practice
